"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"-7768"," Team","USC","Pac-12","fumbles","REC","0"
"4711055","Dorian Singer","USC","Pac-12","receiving","LONG","44"
"4431048","Jacobe Covington","USC","Pac-12","defensive","TD","0"
"4429028","Chris Thompson Jr.","USC","Pac-12","defensive","SOLO","4"
"4431618","Mario Williams","USC","Pac-12","receiving","TD","2"
"4870993","Braylan Shelby","USC","Pac-12","defensive","SACKS","2"
"4592573","Michael Jackson III","USC","Pac-12","puntReturns","YDS","25"
"4870993","Braylan Shelby","USC","Pac-12","defensive","TOT","16"
"4705853","Eddie Czaplicki","USC","Pac-12","punting","YPP","43.6"
"4431618","Mario Williams","USC","Pac-12","passing","COMPLETIONS","1"
"4431619","Ceyair Wright","USC","Pac-12","defensive","SOLO","7"
"4361689","Solomon Byrd","USC","Pac-12","defensive","SACKS","4.5"
"4431048","Jacobe Covington","USC","Pac-12","interceptions","AVG","24.0"
"4432784","Kyron Ware-Hudson","USC","Pac-12","receiving","LONG","33"
"4592573","Michael Jackson III","USC","Pac-12","puntReturns","TD","0"
"4431580","Miller Moss","USC","Pac-12","passing","YPA","9.7"
"-7768"," Team","USC","Pac-12","passing","YPA","0.0"
"4870612","Zachariah Branch","USC","Pac-12","defensive","TD","1"
"4594277","Jaylin Smith","USC","Pac-12","defensive","TFL","4.5"
"4432660","Anthony Beavers Jr.","USC","Pac-12","defensive","SACKS","0"
"4431618","Mario Williams","USC","Pac-12","receiving","YDS","305"
"4567506","Tahj Washington","USC","Pac-12","defensive","TFL","0"
"4431618","Mario Williams","USC","Pac-12","rushing","YDS","0"
"4431517","Calen Bullock","USC","Pac-12","defensive","TD","1"
"4374309","Jac Casasante","USC","Pac-12","defensive","QB HUR","0"
"4685351","Tre'Quon Fegans","USC","Pac-12","defensive","TOT","9"
"4430571","Stanley Ta'ufo'ou","USC","Pac-12","fumbles","FUM","0"
"4567506","Tahj Washington","USC","Pac-12","rushing","LONG","10"
"4431611","Caleb Williams","USC","Pac-12","passing","COMPLETIONS","266"
"4566198","Lake McRee","USC","Pac-12","receiving","YDS","262"
"4374309","Jac Casasante","USC","Pac-12","defensive","PD","0"
"-7768"," Team","USC","Pac-12","passing","TD","0"
"-7768"," Team","USC","Pac-12","fumbles","FUM","1"
"4431611","Caleb Williams","USC","Pac-12","passing","YDS","3633"
"4705853","Eddie Czaplicki","USC","Pac-12","punting","TB","4"
"4870922","Duce Robinson","USC","Pac-12","receiving","REC","15"
"4685268","Raleek Brown","USC","Pac-12","receiving","REC","3"
"4921312","Christian Pierce","USC","Pac-12","defensive","QB HUR","0"
"4430571","Stanley Ta'ufo'ou","USC","Pac-12","fumbles","REC","1"
"4430571","Stanley Ta'ufo'ou","USC","Pac-12","defensive","PD","0"
"4431274","Korey Foreman","USC","Pac-12","defensive","TFL","0"
"4592573","Michael Jackson III","USC","Pac-12","puntReturns","AVG","5.0"
"4567506","Tahj Washington","USC","Pac-12","rushing","CAR","1"
"4875309","Denis Lynch","USC","Pac-12","kicking","PTS","89"
"4711055","Dorian Singer","USC","Pac-12","receiving","YDS","276"
"4685282","Zion Branch","USC","Pac-12","defensive","SOLO","12"
"4685218","Tyrone Taleni","USC","Pac-12","defensive","QB HUR","0"
"4431048","Jacobe Covington","USC","Pac-12","defensive","SOLO","5"
"4602656","Eric Gentry","USC","Pac-12","defensive","TOT","37"
"5101117","Sam Greene","USC","Pac-12","defensive","TD","0"
"4685402","Domani Jackson","USC","Pac-12","defensive","QB HUR","0"
"4685402","Domani Jackson","USC","Pac-12","defensive","TD","0"
"4602656","Eric Gentry","USC","Pac-12","interceptions","AVG","0.0"
"4569330","Austin Jones","USC","Pac-12","defensive","QB HUR","0"
"4431247","Raesjon Davis","USC","Pac-12","defensive","TFL","0.5"
"4430601","Kobe Pepe","USC","Pac-12","defensive","TOT","2"
"4870795","Makai Lemon","USC","Pac-12","receiving","YDS","13"
"4431611","Caleb Williams","USC","Pac-12","fumbles","REC","0"
"4870922","Duce Robinson","USC","Pac-12","puntReturns","TD","0"
"4870612","Zachariah Branch","USC","Pac-12","puntReturns","LONG","75"
"4697524","Matt Colombo","USC","Pac-12","rushing","CAR","1"
"4602656","Eric Gentry","USC","Pac-12","defensive","TD","0"
"4685402","Domani Jackson","USC","Pac-12","defensive","TFL","0"
"4569330","Austin Jones","USC","Pac-12","receiving","REC","9"
"4429023","MarShawn Lloyd","USC","Pac-12","receiving","YDS","232"
"4870612","Zachariah Branch","USC","Pac-12","kickReturns","NO","24"
"4870795","Makai Lemon","USC","Pac-12","kickReturns","NO","5"
"4594277","Jaylin Smith","USC","Pac-12","defensive","TOT","57"
"4705853","Eddie Czaplicki","USC","Pac-12","punting","NO","42"
"4569515","Max Williams","USC","Pac-12","defensive","SACKS","0"
"4875309","Denis Lynch","USC","Pac-12","kicking","XPM","59"
"4685402","Domani Jackson","USC","Pac-12","defensive","PD","3"
"4875309","Denis Lynch","USC","Pac-12","defensive","TOT","2"
"4870612","Zachariah Branch","USC","Pac-12","kickReturns","TD","1"
"4605483","Mason Cobb","USC","Pac-12","defensive","PD","1"
"4431611","Caleb Williams","USC","Pac-12","passing","YPA","9.4"
"5101117","Sam Greene","USC","Pac-12","defensive","TFL","0"
"4602656","Eric Gentry","USC","Pac-12","interceptions","INT","1"
"4431618","Mario Williams","USC","Pac-12","passing","YDS","15"
"4685351","Tre'Quon Fegans","USC","Pac-12","defensive","SOLO","5"
"4569135","Kyon Barrs","USC","Pac-12","defensive","TFL","0"
"4602656","Eric Gentry","USC","Pac-12","defensive","QB HUR","0"
"4426695","De'jon Benton","USC","Pac-12","defensive","PD","0"
"-7768"," Team","USC","Pac-12","passing","ATT","4"
"4870612","Zachariah Branch","USC","Pac-12","rushing","CAR","8"
"4431611","Caleb Williams","USC","Pac-12","passing","INT","5"
"4592573","Michael Jackson III","USC","Pac-12","puntReturns","LONG","9"
"4430285","Deuce Palmer","USC","Pac-12","defensive","PD","0"
"4870795","Makai Lemon","USC","Pac-12","receiving","LONG","6"
"4431618","Mario Williams","USC","Pac-12","rushing","LONG","4"
